1,0.03575
2,0.07283
3,0.11848
4,0.16717
5,0.219
6,0.27225
7,0.3277
8,0.37769
9,0.42515
10,0.46842
11,0.51309
12,0.55636
13,0.59569
14,0.63192
15,0.66451
16,0.69492
17,0.72305
18,0.74725
19,0.77148
20,0.79325
21,0.81472
22,0.83055
23,0.8489
24,0.86174
25,0.87301
26,0.88677
27,0.89825
28,0.90671
29,0.91643
30,0.92573
31,0.93257
32,0.93951
33,0.94559
34,0.94921
35,0.95534
36,0.95964
37,0.96523
38,0.96766
39,0.97153
40,0.97433
41,0.97677
42,0.97792
43,0.98111
44,0.9826
45,0.98423
46,0.98578
47,0.98756
48,0.98819
49,0.98948
50,0.99042
51,0.99112
52,0.99237
53,0.99323
54,0.99391
55,0.99481
56,0.99501
57,0.99575
58,0.99634
59,0.99665
60,0.99664
61,0.99712
62,0.99724
63,0.9978
64,0.99804
65,0.99822
66,0.99811
67,0.99864
68,0.9986
69,0.9989
70,0.9987
71,0.99898
72,0.99896
73,0.99913
74,0.99911
75,0.9992
76,0.99938
77,0.99956
78,0.9995
79,0.99954
80,0.99963
81,0.99961
82,0.99973
83,0.99963
84,0.99979
85,0.99972
86,0.99986
87,0.9998
88,0.9998
89,0.99989
90,0.99996
91,0.99986
92,0.99989
93,0.99989
94,0.99989
95,0.9999
96,0.99991
97,0.99995
98,0.99995
99,0.99996
100,0.99997
